spatial_clustering,network_homophily,cross_cultural_friendship_share,mean_stress,mean_stress_active,isolation_rate,active_social_ties,friendship_count,mean_tie_strength,ties_created_total,ties_removed_total,mean_cultural_dist,scenario,intervention,seed,tick,run
0.8120999219359875,0.3790523690773067,0.6209476309226933,0.06969255987027262,0.013224419677536329,0.104,1604,1604,0.9581443541898547,3203,1599,0.23823930427248793,baseline,True,2017,300,17
0.8282803585982069,0.42542286007175806,0.574577139928242,0.04833812227975727,0.007433061320802468,0.082,1951,1951,0.9748752576494186,3780,1829,0.2220248785853045,baseline,True,2018,300,18
0.8333745874587459,0.4196978175713486,0.5803021824286514,0.05913085126525207,0.017827846436907203,0.082,1787,1787,0.9574435406708165,3548,1761,0.23215790047995297,baseline,True,2019,300,19
0.7455445544554455,0.6583690987124463,0.3416309012875537,0.09170720669648076,0.0235146424215198,0.124,1165,1165,1.0345947915699796,2044,879,0.24380726235420758,chinese_heavy,False,11000,300,0
0.710602310231023,0.6371681415929203,0.36283185840707965,0.09202886349241055,0.018274996516990268,0.13,1243,1243,1.0367968057731816,2221,978,0.24052122116082822,chinese_heavy,False,11001,300,1
0.7661111111111111,0.6813590449954087,0.31864095500459133,0.08088635990717498,0.019869244296852974,0.11,1089,1089,1.0296835818085706,1890,801,0.23442701656806367,chinese_heavy,False,11002,300,2
0.7065547561950439,0.6145146088595664,0.38548539114043356,0.11570679138515405,0.03105211725322918,0.154,1061,1061,1.0310843003854788,1854,793,0.2513662756020121,chinese_heavy,False,11003,300,3
0.7836781609195401,0.6356648731744812,0.36433512682551883,0.055051732620430886,0.013146704491472712,0.072,1301,1301,1.074965387780178,2372,1071,0.2232199885096975,chinese_heavy,False,11004,300,4
0.7062146892655367,0.5842696629213483,0.4157303370786517,0.07739968108960929,0.01677047963391545,0.114,1068,1068,1.0787921599678192,1850,782,0.2398504053932786,chinese_heavy,False,11005,300,5
0.7959535256410256,0.6518987341772152,0.3481012658227848,0.07453594832686376,0.017211441777810404,0.096,1264,1264,1.0285883143756758,2195,931,0.22946838298355945,chinese_heavy,False,11006,300,6
0.768317610062893,0.6153846153846154,0.3846153846153846,0.0655454602886789,0.011206261486099874,0.096,1170,1170,1.0396857925655516,2032,862,0.23457936799340134,chinese_heavy,False,11007,300,7
0.7881568627450981,0.5715434083601286,0.4284565916398714,0.057909894672298304,0.011131936587093662,0.084,1244,1244,1.0299521745038447,2137,893,0.23259208638861312,chinese_heavy,False,11008,300,8
